abandonned: abandoned
emcompass: encompass
emited: emitted
emiting: emitting
emmisaries: emissaries
emmisary: emissary
emmision: emission
emmisions: emissions
emmited: emitted
emmiting: emitting
emmitted: emitted
emmitting: emitting
emmulate: emulate
empiricaly: empirically
emplyees: employees
empolyee: employee
emptys: empties
emtpy: empty
emtry: entry
emumerator: enumerator
emumerators: enumerators
enapsulated: encapsulated
encapselates: encapsulates
encdoing: encoding
enchancement: enhancement
enchancements: enhancements
encompases: encompass
enconding: encoding
encondings: encodings
encouter: encounter
encoutered: encountered
encoutering: encountering
encouters: encounters
encrpytion: encryption
encryp: encrypt
encryped: encrypted
encrypton: encryption
encrypton: encryptor
encypted: encrypted
encyrption: encryption
endianess: endianness
endiannes: endianness
endopoint: endpoint
eneabled: enabled
enforceing: enforcing
enforeced: enforced
enlargment: enlargement
enlargments: enlargements
enoough: enough
enqeueue: enqueue
enrollement: enrollment
enrolment: enrollment
enrolments: enrollments
enroute: en route
entaglements: entanglements
enteprise: enterprise
enteprises: enterprises
enterpise: enterprise
entites: entities
entitites: entities
entitys: entities
entiyt: entity
enumarable: enumerable
enumarate: enumerate
enumaration: enumeration
enumarator: enumerator
enumation: enumeration
enumberable: enumerable
enumberables: enumerables
enumeable: enumerable
enumeratable: enumerable
enumerater: enumerator
enumeratoin: enumeration
enumertated: enumerated
enumreable: enumerable
envinronment: environment
envionment: environment
envionrment: environment
enviornment: environment
enviroment: environment
enviromental: environmental
enviromentalist: environmentalist
enviromentalists: environmentalists
enviromentally: environmentally
enviroments: environments
environement: environment
environements: environments
environemnt: environment
environemnts: environments
environmnent: environment
environmnents: environments
environmnet: environment
envrionment: environment
epression: expression
epressions: expressions
eqivalent: equivalent
eqivilence: equivalence
equatibility: equatability
equiped: equipped
equipments: equipment
equippment: equipment
equivalant: equivalent
equivaluents: equivalents
equivelent: equivalent
equivilent: equivalent
eratically: erratically
erorr: error
erorrs: errors
errorneous: erroneous
errorneously: erroneously
errornous: erroneous
errorrs: errors
errror: error
esential: essential
esentially: essentially
espetially: especially
espicially: especially
essencial: essential
estabilish: establish
estabilished: established
estabilishes: establishes
estabilishing: establishing
establised: established
estblishing: establishing
evaluatation: evaluation
evalutation: evaluation
evalution: evaluation
evalution: evolution
eventhough: even though
eventualy: eventually
everwhere: everywhere
everyhing: everything
everytime: every time
everyting: everything
evetually: eventually
evironment: environment
evnt: event
exagerate: exaggerate
exagerated: exaggerated
exagerates: exaggerates
exagerating: exaggerating
examinated: examined
exapanded: expanded
excatly: exactly
excede: exceed
exceedng: exceeding
excelent: excellent
exceptation: expectation
exceptionis: exceptions
exceptios: exception
exceptios: exceptions
exceptoin: exception
exceptons: exceptions
excercise: exercise
excercised: exercised
excercises: exercises
excercising: exercising
excesive: excessive
exclaimation: exclamation
exclusivelly: exclusively
excplicit: explicit
excplicitly: explicitly
excption: exception
excuted: executed
exection: execution
exectuable: executable
exectutor: executor
executation: execution
executeable: executable
executer: executor
exepected: expected
exept: except
exeption: exception
exeption: exemption
exercize: exercise
exetrnal: external
exisiting: existing
exisitng: existing
exisits: exists
existance: existence
existant: existent
existnig: existing
exlicit: explicit
exlude: exclude
exluded: excluded
exlusion: exclusion
exlusiveness: exclusiveness
exoected: expected
expceted: expected
expcetion: exception
expecteds: expected
expectes: expects
expection: exception
experession: expression
experiance: experience
expesions: expressions
expeting: expecting
expiratoin: expiration
expireds: expired
expireds: expires
expirred: expired
explaination: explanation
explcit: explicit
explcitly: explicitly
explicitelly: explicitly
explicitely: explicitly
explicitily: explicitly
explicity: explicitly
explict: explicit
explictilty: explicitly
explictly: explicitly
explitic: explicit
exponentional: exponential
expontential: exponential
expresion: expression
expresions: expressions
expresson: expression
expresssion: expression
expresssions: expressions
exptession: expression
exstensions: extensions
extactly: exactly
extensiblity: extensibility
extensiosns: extensions
extenstion: extension
extenstions: extensions
extention: extension
extentions: extensions
exteranl: external
externallly: externally
extesibility: extensibility
extied: exited
extraterrestial: extraterrestrial
extraterrestials: extraterrestrials
extreem: extreme
extreemly: extremely
extremly: extremely
exxcluding: excluding
faciliate: facilitate
faciliates: facilitates
failes: fails
falback: fallback
falbacks: fallbacks
faling: failing
faling: falling
fallbcak: fallback
fallsback: falls back
falsyness: falsiness
Farenheit: Fahrenheit
feromone: pheromone
feromones: pheromones
fetchs: fetches
fictious: fictitious
fiercly: fiercely
filetered: filtered
finacial: financial
finalizeres: finalizers
finaly: finally
financal: financial
financialy: financially
finanical: financial
finitenes: finiteness
finsh: finish
finshed: finished
fisrt: first
fitler: filter
fixs: fixes
flakyness: flakiness
flase: false
flase: flask
flattern: flatten
flatterned: flattened
flatterning: flattering
flatterns: flattens
flattned: flattened
flattten: flatten
flexibilty: flexibility
florescent: fluorescent
flourescent: fluorescent
focussed: focused
focusses: focuses
focussing: focusing
follback: fallback
followinig: following
follwed: followed
follwoing: following
folowing: following
folows: follows
fonetic: phonetic
fontend: frontend
forbidd: forbid
forbiden: forbidden
forbiding: forbidding
forcast: forecast
forceing: forcing
foregroud: foreground
foregrount: foreground
forground: foreground
foriegn: foreign
formated: formatted
formater: formatter
formating: formatting
formla: formal
formla: formula
formmated: formatted
forseeable: foreseeable
forumla: formula
forumlas: formulas
forumula: formula
forumulas: formulas
forwading: forwarding
forwared: forwarded
forwareded: forwarded
fragement: fragment
fragemnts: fragments
fragmenation: fragmentation
frameowrk: framework
framewors: framework
framewors: frameworks
framwork: framework
framworks: frameworks
freezed: frozen
freind: friend
frequences: frequencies
frist: first
fucntion: function
fuction: function
fulfiled: fulfilled
fullfilled: fulfilled
funcion: function
funcional: functional
funcionality: functionality
funcition: function
funciton: function
functin: function
functinality: functionality
functionallity: functionality
functionalty: functionality
functionalty: functionally
functionaly: functionally
functionlity: functionality
functoin: function
funtion: function
funtionality: functionality
futher: father
futher: further
futhermore: furthermore
galery: gallery
gamming: gaming
garantee: guarantee
garanteed: guaranteed
gatweay: gateway
gauranteed: guaranteed
geenerator: generator
genearted: generated
geneological: genealogical
geneologies: genealogies
geneology: genealogy
generall: general
generall: generally
generaly: generally
generat: general
generat: generate
genereate: generate
genereated: generated
genereic: generic
generete: generate
generetes: generates
genertaed: generated
genetive: genitive
genitve: genitive
genration: generation
genrator: generator
genreate: generate
genreated: generated
genric: generic
geomtry: geometry
geting: getting
getted: got
getted: gotten
getterless: getter-less
gettter: getter
gloabl: global
globaly: globally
gnerated: generated
gobally: globally
gohper: gopher
gooses: geese
gracefull: graceful
gradiant: gradient
gradualy: gradually
gramatical: grammatical
gramatically: grammatically
grammaticaly: grammatically
granchild: grandchild
granchildren: grandchildren
granurality: granularity
gratefull: grateful
greather: greater
Gregarian: Gregorian
Gregirian: Gregorian
groupped: grouped
guage: gauge
guanratee: guarantee
guareenteed: guaranteed
guarentee: guarantee
guarenteed: guaranteed
guerrila: guerrilla
guerrilas: guerrillas
guestimate: guesstimate
guidence: guidance
guidlines: guidelines
gurantee: guarantee
guranteed: guaranteed
haemorrage: haemorrhage
haikus: haiku
hamburguer: hamburger
handlig: handling
handlng: handling
hanlde: handle
hanlder: handler
hanlders: handlers
happend: happened
happend: happens
happenning: happening
happlily: happily
harasment: harassment
harasments: harassments
harassement: harassment
harras: harass
harrased: harassed
harrases: harasses
harrasing: harassing
harrasment: harassment
harrasments: harassments
harrass: harass
hasbang: hashbang
hasnt: hasn't
havent: haven't
hbernate: hibernate
headder: header
headders: headers
headign: heading
Hebrev: Hebrew
heigh: height
heighth: height
heigth: height
heirarchy: hierarchy
helpfull: helpful
hemmorhage: hemorrhage
hesh: hash
heshing: hashing
heterogenous: heterogeneous
hexidecimal: hexadecimal
hibenate: hibernate
hidding: hiding
hiearchical: hierarchical
hiearchies: hierarchies
hiearchy: hierarchy
hiecharchy: hierarchy
hierachical: hierarchical
hierachies: hierarchies
hierachy: hierarchy
hierarcy: hierarchy
higeine: hygiene
higest: highest
highighter: highlighter
highights: highlights
highlevel: high-level
highligher: highlighter
hight: height
hightlight: highlight
hightlighting: highlighting
higlight: highlight
higlighted: highlighted
higlighting: highlighting
hillarious: hilarious
hinerited: inherited
hipocrit: hypocrite
hirearchy: hierarchy
hirerachy: hierarchy
hirerarchy: hierarchy
hoizontal: horizontal
holded: held
homogenous: homogeneous
horisontal: horizontal
horizonatal: horizontal
horizonatally: horizontally
horizontaly: horizontally
horizontially: horizontally
hovewer: however
howevever: however
hte: the
htpp: http
hunderds: hundreds
hygeine: hygiene
hypelink: hyperlink
hypenated: hyphenated
hypocrits: hypocrites
iconclastic: iconoclastic
idenfifier: identifier
idenifier: identifier
idenifies: identifies
idenitifiers: identifiers
identfier: identifier
identic: identical
identifer: identifier
identifers: identifiers
identificator: identifier
identifyers: identifiers
identiier: identifier
identiifer: identifier
identitical: identical
identitifier: identifier
idiosyncracy: idiosyncrasy
ifinity: infinity
ignorence: ignorance
ignroable: ignorable
ihnerit: inherit
ilegal: illegal
imags: image
imags: images
imcomplete: incomplete
imediate: immediate
imediately: immediately
imges: images
imigrant: immigrant
imigrated: immigrated
imigration: immigration
imlement: implement
imlemented: implemented
imlicitly: implicitly
immagine: imagine
immediatelly: immediately
immediatly: immediately
immitate: imitate
immitated: imitated
immitating: imitating
immitator: imitator
immmutable: immutable
immuatable: immutable
immuttable: immutable
impecabbly: impeccably
impelementation: implementation
impelmentation: implementation
impement: implement
implemenation: implementation
implemening: implementing
implementaion: implementation
implementaiton: implementation
implementating: implementing
implementatio: implementation
implementes: implements
implemention: implementation
implemetation: implementation
implemetations: implementations
implemeted: implemented
implemeters: implementers
implemnentation: implementation
implemnentations: implementations
implentation: implementation
implenting: implanting
implenting: implementing
implicitely: implicitly
implicitily: implicitly
implict: implicit
implictly: implicitly
implimented: implemented
implmentation: implementation
imporovements: improvements
importand: important
imposible: impossible
imposibly: impossibly
impossibe: impossible
impratical: impractical
impressario: impresario
impromput: impromptu
improvemnt: improvement
improvemnts: improvements
imtermediate: intermediate
inaccesible: inaccessible
inaccessable: inaccessible
inadvertantly: inadvertently
inagurate: inaugurate
inagurated: inaugurated
inagurates: inaugurates
inagurating: inaugurating
inaguration: inauguration
inappropiate: inappropriate
inbalance: imbalance
inbalanced: imbalanced
inbetween: in between
inbetween: in-between
incensitive: insensitive
incidently: incidentally
incluing: including
incomaptible: incompatible
incomming: incoming
incompability: incompatibility
incompatabilities: incompatibilities
incompatability: incompatibility
incompatibe: incompatible
incompatiblities: incompatibilities
incompatiblity: incompatibility
incompleted: incomplete
inconsistant: inconsistent
inconsistantly: inconsistently
inconsitent: inconsistent
incorect: incorrect
incorectly: incorrectly
incorrent: incorrect
increement: increment
incrememted: incremented
incrementaly: incrementally
incrementel: incremental
incrementel: incremented
incremnent: increment
incuding: including
inculded: included
indcating: indicating
indecates: indicates
indefinetely: indefinitely
indefinitly: indefinitely
indefintely: indefinitely
indendation: indentation
indentical: identical
indentifier: identifier
indentifiers: identifiers
indentify: identify
indepedence: independence
indepedent: independent
indepedently: independently
independance: independence
independant: independent
independantly: independently
indetermineate: indeterminate
indexd: indexed
indexies: indexes
indexs: indexes
indexx: index
indiciates: indicates
indicies: indices
indictement: indictment
indispensible: indispensable
indivdual: individual
indxer: indexer
inefficency: inefficiency
inefficent: inefficient
ineqaulity: inequality
inequal: unequal
inerface: interface
inerit: inert
inerit: inherit
inerited: inherited
infastructure: infrastructure
infered: inferred
inferenece: inference
inferface: interface
infering: inferring
inferrence: inference
inferrred: inferred
infinate: infinite
infinte: infinite
inflamation: inflammation
influencial: influential
infomation: information
infomration: information
informaiton: information
infrastracture: infrastructure
infromation: information
ingore: ignore
ingored: ignored
ingoring: ignoring
ingrediens: ingredient
ingrediens: ingredients
ingres: ingress
inherintance: inheritance
inheritence: inheritance
inherites: inherits
inherittance: inheritance
inhertited: inherited
inifinite: infinite
inifinity: infinity
inifnity: infinity
inital: initial
initally: initially
initiatize: initialize
injestion: injection
inlcude: include
inluding: including
inmediately: immediately
innacessible: inaccessible
innacurate: inaccurate
inncomplete: incomplete
innefficient: inefficient
innitiate: initiate
innoculate: inoculate
innoculated: inoculated
inordered: unordered
inovke: invoke
inprisonment: imprisonment
inputed: inputted
inputing: inputting
insensitve: insensitive
insenstive: insensitive
insenstively: insensitively
insentitive: insensitive
insentivity: insensitivity
insered: inserted
insersion: insertion
insersion: inversion
insertation: insertion
insertations: insertions
inserterd: inserted
inserterd: inserter
inserton: insertion
insignias: insignia
instace: instance
instal: install
instalation: installation
instanatiates: instantiates
instanciate: instantiate
instanciated: instantiated
instanciates: instantiates
instanciating: instantiating
instanciations: instantiations
instancied: instantiated
instanct: instance
instanct: instant
instanse: instance
instantation: instantiation
instantations: instantiations
instantiatied: instantiated
instantion: instantiation
instantions: instantiations
instantitation: instantiation
instatiation: instantiation
instence: instance
instnce: instance
instrinsic: intrinsic
instructiona: instruction
instructiona: instructions
insufficent: insufficient
insuffient: insufficient
insuficient: insufficient
inteface: interface
intefaces: interfaces
integation: integration
integeration: integration
integraded: integrated
intelectual: intellectual
inteligence: intelligence
inteligent: intelligent
intelligance: intelligence
intensly: intensely
intepreter: interpreter
intepreters: interpreters
interation: interaction
interation: iteration
interchage: interchange
interchangable: interchangeable
interesction: intersection
interferred: interfered
interferring: interfering
interger: integer
intergers: integers
intergrate: integrate
intergrated: integrated
intergration: integration
intermadiate: intermediate
internall: internal
internall: internally
internaly: internally
internett: internet
interopability: interoperability
interperter: interpreter
interperters: interpreters
interpeted: interpreted
interpeter: interpreter
interpeters: interpreters
interpretted: interpreted
interpretter: interpreter
interpretters: interpreters
intersting: interesting
interupted: interrupted
interupting: interrupting
interuption: interruption
interwined: intertwined
intesection: intersection
intial: initial
intially: initially
intitial: initial
intitially: initially
intrinisc: intrinsics
intrinstics: intrinsics
intrisics: intrinsics
invaild: invalid
invaldiated: invalidated
invarant: invariant
invarient: invariant
invididual: individual
invididuals: individuals
invisble: invisible
invoction: invocation
invokable: invocable
invokation: invocation
involvment: involvement
iritated: irritated
irrelevent: irrelevant
irreplacable: irreplaceable
irresistable: irresistible
isnt: isn't
isntall: install
isntance: instance
isntead: instead
isoceles: isosceles
istall: install
istead: instead
iteractive: interactive
iteractive: iterative
iterater: iterator
iteratons: iterations
iteratons: iterators
itereation: iteration
iterface: interface
itertion: iteration
itrinsics: intrinsics
itterate: iterate
javascipt: javascript
javasript: javascript
javscript: javascript
justifaction: justification
keystoke: keystroke
keystokes: keystrokes
klass: class
knonw: known
knonwn: known
knowning: knowing
konsole: console
Kubenernetes: Kubernetes
lable: label
lamdba: lambda
langauge: language
languange: language
languanges: languages
languge: language
laoding: loading
largerly: largely
lastest: last
latitute: latitude
layed: laid
lazyness: laziness
leadeship: leadership
leasure: leisure
lengh: length
lenght: length
lenghts: lengths
lengthes: lengthens
lengthes: lengths
lenths: lengths
levarage: leverage
lexicographicly: lexicographically
liason: liaison
liasons: liaisons
libarary: library
lifecyle: lifecycle
lightyear: light year
lightyears: light years
ligitimate: legitimate
likeley: likely
likelyhood: likelihood
limiation: limitation
limitated: limited
limitted: limited
listners: listeners
litterals: literals
logaritmic: logarithmic
loggging: logging
logicaly: logically
logicial: logical
logicial: logician
lonelyness: loneliness
longtitude: longitude
lookahed: lookahead
lowlevel: low-level
lyquidity: liquidity
machiney: machine
machiney: machinery
magification: magnification
magnication: magnification
magnificient: magnificent
maintainance: maintenance
maintainted: maintained
maintanence: maintenance
maintnance: maintenance
maitain: maintain
malicous: malicious
mamal: mammal
managable: manageable
managament: management
managaments: managements
managemen: management
managemet: management
managment: management
manaully: manually
manfiest: manifest
mangement: management
manifacturer: manufacturer
manualy: manually
manupulators: manipulators
mappin: mapping
mappping: mapping
mardown: markdown
mariage: marriage
markdow: markdown
markeplace: marketplace
marmelade: marmalade
masquarade: masquerade
Massachussets: Massachusetts
Massachussetts: Massachusetts
matchig: matching
matchs: matches
mater: matter
maters: matters
mathmatical: mathematical
matricies: matrices
maximun: maximum
meaningfull: meaningful
meaningfull: meaningfully
measurment: measurement
measurments: measurements
Mediteranean: Mediterranean
meeeting: meeting
meeetings: meetings
mehtod: method
memeber: member
memebers: members
memebrs: members
memmory: memory
merchantablity: merchantability
Mersanne: Mersenne
mesage: message
mesasge: message
messae: message
messasges: messages
messgaes: messages
messsage: message
messsages: messages
metalic: metallic
metalurgic: metallurgic
metalurgical: metallurgical
metalurgy: metallurgy
metatada: metadata
metched: matched
metdata: metadata
meterologist: meteorologist
meterologists: meteorologists
meterology: meteorology
methdo: method
methode: method
methode: methods
methos: method
methos: methods
metioned: mentioned
metohds: methods
metrisc: metrics
metter: matter
middlewere: middleware
migratation: migration
milennium: millennium
miligram: milligram
milion: million
milisecond: millisecond
miliseconds: milliseconds
millenia: millennia
millenial: millennial
millenialism: millennialism
millenials: millennials
millenium: millennium
millon: million
millsecond: millisecond
millseconds: milliseconds
mimick: mimic
mimicks: mimics
mimimal: minimal
miminum: minimum
minimium: minimum
minimuim: minimum
minimun: minimum
mininal: minimal
mininmal: minimal
mininum: minimum
miniscule: minuscule
minumum: minimum
miscelaneous: miscellaneous
miscellanous: miscellaneous
miscelleaneous: miscellaneous
mischeivous: mischievous
mischevious: mischievous
mischevous: mischievous
mischievious: mischievous
misisng: missing
mismathc: mismatch
mispell: misspell
mispelled: misspelled
mispelling: misspelling
mispells: misspells
missbehave: misbehave
missbehaved: misbehaved
missbehaves: misbehaves
missbehaving: misbehaving
missbehavior: misbehavior
Missisipi: Mississippi
Missisippi: Mississippi
missmatch: mismatch
missmatches: mismatches
misspel: misspell
misspeled: misspelled
misstyped: mistyped
missuse: misuse
missused: misused
missuses: misuses
missusing: misusing
mistmatch: mismatch
mistnested: misnested
mmeory: memory
mnenomic: mnemonic
modfied: modified
modfier: modifier
modifer: modifier
modifing: modifying
modifiy: modify
modifiying: modifying
modifyed: modified
modyfing: modifying
momment: moment
monotonicaly: monotonically
montly: monthly
morever: moreover
morfologic: morphologic
Morrocco: Morocco
Morroco: Morocco
mssing: missing
muiltiple: multiple
muliple: multiple
mulitiple: multiple
mulitple: multiple
multipled: multiplied
multipler: multiplier
multiplty: multiply
multipple: multiple
multipy: multiply
multple: multiple
mustashe: mustache
mutiple: multiple
mutiplier: multiplier
mutithreading: multithreading
mutliple: multiple
mysogynist: misogynist
mysogyny: misogyny
nagative: negative
namepace: namespace
namesapce: namespace
namming: naming
nanosecons: nanosecond
nanosecons: nanoseconds
nastyness: nastiness
naturaly: naturally
neccesarily: necessarily
neccesary: necessary
neccessarily: necessarily
neccessary: necessary
neccessities: necessities
necesarily: necessarily
necesary: necessary
necessery: necessary
necesssary: necessary
needeed: needed
neeed: need
neeeded: needed
negetive: negative
negitive: negative
negligable: negligible
negociate: negotiate
negociated: negotiated
negociates: negotiates
negociating: negotiating
negotation: negotiation
nessesary: necessary
nonascii: non-ascii
nonclusterd: nonclustered
nondeterministc: nondeterministic
nonexistant: nonexistent
nonmutable: immutable
nonnull: non-null
nontheless: nonetheless
noone: none
noone: noon
nothin: nothing
noticable: noticeable
noticably: noticeably
notifcations: notifications
notificiation: notification
nthing: nothing
nulll: null
nulllable: nullable
numberic: numeric
numberous: numerous
numericaly: numerically
nummber: number
nuulable: nullable
obediance: obedience
obejct: object
objet: object
objets: objects
obscurred: obscured
obselete: obsolete
observerable: observable
ocasional: occasional
ocasionally: occasionally
ocassional: occasional
ocassionally: occasionally
ocassionaly: occasionally
ocassioned: occasioned
ocassions: occasions
occasionaly: occasionally
occassion: occasion
occassional: occasional
occassionally: occasionally
occassioned: occasioned
occassions: occasions
occpied: occupied
occuped: occupied
occurance: occurrence
occurances: occurrences
occure: occur
occure: occurs
occured: occurred
occurence: occurrence
occurences: occurrences
occurencies: occurrences
occures: occurs
occuring: occurring
occurr: occur
occurrance: occurrence
occurrances: occurrences
occurrencies: occurrences
occurrs: occurs
octohedra: octahedra
octohedral: octahedral
octohedron: octahedron
ocurrance: occurrence
ocurrances: occurrences
ocurred: occurred
ocurrence: occurrence
ocurrences: occurrences
offerred: offered
offical: official
officals: officials
officaly: officially
officialy: officially
offsett: offset
ofset: offset
oftenly: often
ommision: omission
ommit: omit
ommited: omitted
ommitted: omitted
ommitting: omitting
omnicron: omicron
opeartion: operation
opeator: operator
openess: openness
openinig: opening
openned: opened
openning: opening
operant: operand
operartor: operator
operatione: operation
operatione: operations
operationn: operation
operationn: operations
operato: operate
operato: operator
opertor: operator
oportunity: opportunity
oposite: opposite
oposition: opposition
opportuniy: opportunity
opthalmic: ophthalmic
opthalmologist: ophthalmologist
opthalmology: ophthalmology
opthamologist: ophthalmologist
optionaly: optionally
optionnaly: optionally
oracl: oracle
oralce: oracle
orderd: ordered
orderring: ordering
oredered: ordered
orginal: original
orientaion: orientation
orientaton: orientation
originale: original
originale: originals
originaly: originally
originial: original
originially: originally
originiate: originate
originiating: originating
orignal: original
orignial: original
ortografic: ortographic
otehrwise: otherwise
otherweise: otherwise
ouptut: output
ouputted: outputted
outgoining: outgoing
outputed: outputted
outputing: outputting
outragous: outrageous
outter: outer
oveflow: overflow
oveloads: overloads
overal: overall
overddien: overridden
overfow: overflow
overidable: overridable
overidden: overridden
overide: override
overides: overrides
overiding: overriding
overiide: override
overlad: overlay
overlad: overload
overlaod: overlaid
overlaod: overload
overlaping: overlapping
overlayed: overlaid
overllaping: overlapping
overoladed: overloaded
overrid: override
overridding: overriding
overrideable: overridable
overrided: overridden
overrided: overrode
overriden: overridden
overrites: overrides
overrride: override
overrwrite: overwrite
overvwrite: overwrite
overwelming: overwhelming
overwite: overwrite
owerwrite: overwrite
oxigen: oxygen
oximoron: oxymoron
pacakge: package
pacakges: packages
packag: package
packags: packages
packge: package
pading: padding
painfull: painful
painfull: painfully
pallete: palette
pallette: palette
pamameter: parameter
paraemters: parameters
paragaph: paragraph
paralel: parallel
paralell: parallel
parallell: parallel
paramater: parameter
paramaters: parameters
paramenter: parameter
paramenters: parameters
parameteres: parameters
paramter: parameter
paramters: parameters
parantethis: parenthesis
parantheses: parentheses
paremeter: parameter
paremeters: parameters
parente: parented
parente: parents
parentesis: parenthesis
parenthesses: parentheses
parenthethis: parenthesis
paritioning: partitioning
parliment: parliament
parmeter: parameter
parmeters: parameters
parralel: parallel
parrallel: parallel
parrent: parent
particlar: particular
particpate: participate
particulary: particularly
partitoning: partitioning
pased: passed
passprase: passphrase
passsword: password
pasword: password
paswords: passwords
patern: pattern
paterns: patterns
pathalogical: pathological
pathes: paths
patriach: patriarch
pavillion: pavilion
paylod: payload
pecularities: peculiarities
pecularity: peculiarity
peformance: performance
Peloponnes: Peloponnesus
penninsula: peninsula
penninsular: peninsular
penninsulas: peninsulas
percieve: perceive
percieved: perceived
perenially: perennially
perfomance: performance
perfomed: performed
perfomer: performer
perfomers: performers
perfoming: performing
performace: performance
performaces: performances
perfromance: performance
perfromances: performances
perfromed: performed
peridiocally: periodically
peristent: persistent
permament: permanent
permananent: permanent
permanenet: permanent
permenent: permanent
permision: permission
permisions: permissions
permissable: permissible
permissons: permissions
peroperties: properties
peroperty: property
perserves: preserves
perseverence: perseverance
persistance: persistence
persistant: persistent
persistece: persistence
persisten: persistent
persitence: persistence
persitent: persistent
personel: personnel
personell: personnel
perspecitive: perspective
pertubation: perturbation
pesistent: persistent
phenomenom: phenomenon
Philipines: Philippines
Phillipine: Philippine
Phillipines: Philippines
Phillippines: Philippines
phoenetic: phonetic
phsyically: physically
physicaly: physically
pilgrimmage: pilgrimage
pilgrimmages: pilgrimages
pinapple: pineapple
pinapples: pineapples
pipelne: pipeline
pipleine: pipeline
placeholer: placeholder
plaform: platform
plantiff: plaintiff
plantiffs: plaintiffs
platfor: platform
ploting: plotting
ploymorphic: polymorphic
poeple: people
poisioning: poisoning
poisition: position
polimorphic: polymorphic
polinator: pollinator
polinators: pollinators
pollyfill: polyfill
pollyfills: polyfills
polute: pollute
polymoirphic: polymorphic
polymorphysm: polymorphism
polymorphysms: polymorphisms
polymorpic: polymorphic
polynominal: polynomial
polyomnial: polynomial
populare: popular
Portugese: Portuguese
posess: possess
posessed: possessed
posesses: possesses
posessing: possessing
posession: possession
posessions: possessions
posibilities: possibilities
posibility: possibility
posible: possible
posibly: possibly
positition: position
positivies: positives
possbily: possibly
posseses: possesses
possesing: possessing
possesion: possession
possibilites: possibilities
possibily: possibly
possibl: possible
possibl: possibly
possiblility: possibility
possiblities: possibilities
possiblity: possibility
possitive: positive
posssible: possible
posssibly: possibly
postgress: postgres
postion: position
postional: positional
postition: position
postitions: positions
postive: positive
potatos: potatoes
potentailly: potentially
pourpose: purpose
powerfull: powerful
practicaly: practically
prdictor: predictor
prdictors: predictors
preamable: preamble
preamables: preambles
precalulated: precalculated
preced: precede
precedeed: preceded
preceed: precede
preceeded: preceded
preceeding: preceding
preceeds: precedes
precendence: precedence
precending: preceding
precentage: percentage
precomupted: precomputed
prediate: predate
prediate: predicate
predicatable: predictable
predicte: predicted
predicte: predicts
predjudice: prejudice
preeserve: preserve
prefered: preferred
prefering: preferring
preferrable: preferable
preferrably: preferably
preffer: prefer
preffered: preferred
preformance: performance
preforming: performing
pregnat: pregnant
preoccuppied: preoccupied
preocupation: preoccupation
prepocess: preprocess
preppend: prepend
preppended: prepended
preppending: prepending
preppends: prepends
preprend: prepend
preprended: prepended
preprending: prepending
preprends: prepends
prereleas: prerelease
prerequisities: prerequisites
prerequsite: prerequisite
presense: presence
presneter: presenter
prespective: perspective
pressumably: presumably
prestigeous: prestigious
presure: pressure
presures: pressures
presurre: pressure
presurres: pressures
prettyfy: prettify
prettyfying: prettifying
prevens: prevents
previos: previous
previosly: previously
previoulsy: previously
prevously: previously
primarely: primarily
primarly: primarily
primative: primitive
primitivie: primitive
primivive: primitive
principe: principle
prinicpal: principal
printiable: printable
priortiy: priority
priorty: priority
privelege: privilege
priveleges: privileges
priviledge: privilege
priviledged: privileged
priviledges: privileges
privilige: privilege
priviliges: privileges
proactivly: proactively
probabilisic: probabilistic
probabilisitic: probabilistic
probabilty: probability
probablity: probability
probibilistic: probabilistic
procces: process
procceses: processes
proccesing: processing
proccesor: processor
proccesors: processors
proccess: process
proccessed: processed
proccesses: processes
proccessing: processing
proccessor: processor
proccessors: processors
proceess: proceeds
proceess: process
proces: process
procesesed: processed
processeses: processes
processin: processing
processin: procession
processsing: processing
proceudre: procedure
procudure: procedure
proejct: project
proeject: project
proeprty: property
profesion: profession
profesions: professions
profesor: professor
profesors: professors
professer: professes
professer: professor
progams: programs
progess: progress
programable: programmable
programatically: programmatically
programaticaly: programmatically
programers: programmers
programing: programming
programmically: programmatically
prohibitied: prohibited
prohibitted: prohibited
projecion: projection
promiss: promise
pronounciation: pronunciation
properies: properties
properites: properties
properpties: properties
propert: proper
propert: property
propertied: properties
propertly: properly
propertly: property
propertys: properties
propery: property
propesties: properties
propeties: properties
propogate: propagate
propogated: propagated
propogates: propagates
propogation: propagation
proportionnal: proportional
propper: proper
proprerties: properties
propreties: properties
proprties: properties
protectes: protected
protectes: protects
protestor: protester
proxeable: proxyable
psychadelic: psychedelic
publically: publicly
publicaly: publicly
punctunation: punctuation
puropose: purpose
purpouse: purpose
qeueries: queries
qoutes: quotes
quadradic: quadratic
qualifed: qualified
qualifer: qualifier
qualifers: qualifiers
qualifes: qualifies
quarantaine: quarantine
quarentine: quarantine
queing: queuing
quelified: qualified
queriable: queryable
quering: querying
questionaire: questionnaire
questionnair: questionnaire
queueu: queue
queueus: queues
rabbbit: rabbit
racoon: raccoon
racoons: raccoons
ralative: relative
randomzier: randomizer
reachablility: reachability
readed: read
readible: readable
readyness: readiness
reallocte: reallocate
realocate: reallocate
realocated: reallocated
realocates: reallocates
realocating: reallocating
realy: really
reasearch: research
reasigned: reassigned
reasonbly: reasonably
reasonnable: reasonable
reasult: result
reattch: reattach
reccomend: recommend
reccomended: recommended
